source_id,source_type,raw_text,predicted_category,confidence,priority,ticket_title,ticket_description,technical_details,feature_details,metadata
R001,review,App crashes when I try to open my task list after the latest update.,Bug,0.9,Critical,[BUG]  - Issue,"Category: Bug
Priority: Critical
Device Info: 
OS Version: 
Steps to Reproduce: 
","{'device_info': '', 'os_version': '', 'steps_to_reproduce': ''}",None,{}
R002,review,Can't login since update. Keeps showing an error on iOS 17.,Bug,,Critical,[BUG]  - Issue,"Category: Bug
Priority: Critical
Device Info: 
OS Version: 
Steps to Reproduce: 
","{'device_info': '', 'os_version': '', 'steps_to_reproduce': ''}",None,{}
R003,review,Data sync not working between my phone and tablet.,Complaint,0.9,Medium,[COMPLAINT] Feedback,"Category: Complaint
Priority: Medium
",None,None,{}
R006,review,Amazing app! Love the new reminder feature.,Praise,0.9,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
R007,review,Works perfectly for daily planning. Great experience overall.,Praise,,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
R008,review,App is very slow and takes too long to load tasks.,Complaint,0.9,Medium,[COMPLAINT] Feedback,"Category: Complaint
Priority: Medium
",None,None,{}
R009,review,Too expensive for basic features. Not worth the price.,Complaint,0.8,High,[COMPLAINT] Feedback,"Category: Complaint
Priority: High
",None,None,{}
R010,review,Poor customer service. No response to my emails.,Complaint,0.9,High,[COMPLAINT] Feedback,"Category: Complaint
Priority: High
",None,None,{}
R011,review,Love the clean UI and simple design. Works perfectly!,Praise,0.9,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,0.9,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,0.9,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Complaint,,Critical,[COMPLAINT] Feedback,"Category: Complaint
Priority: Critical
",None,None,{}
None,review,,Praise,,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,0.9,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Complaint,0.8,Medium,[COMPLAINT] Feedback,"Category: Complaint
Priority: Medium
",None,None,{}
None,review,,Praise,0.9,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,0.9,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Bug,0.8,Critical,[BUG]  - Issue,"Category: Bug
Priority: Critical
Device Info: 
OS Version: 
Steps to Reproduce: 
","{'device_info': '', 'os_version': '', 'steps_to_reproduce': ''}",None,{}
None,review,,Bug,,Medium,[BUG]  - Issue,"Category: Bug
Priority: Medium
Device Info: 
OS Version: 
Steps to Reproduce: 
","{'device_info': '', 'os_version': '', 'steps_to_reproduce': ''}",None,{}
None,review,,Praise,,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,1.0,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,0.9,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Complaint,0.9,High,[COMPLAINT] Feedback,"Category: Complaint
Priority: High
",None,None,{}
None,review,,Praise,,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,0.9,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Complaint,0.8,Medium,[COMPLAINT] Feedback,"Category: Complaint
Priority: Medium
",None,None,{}
None,review,,Praise,,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Complaint,,Medium,[COMPLAINT] Feedback,"Category: Complaint
Priority: Medium
",None,None,{}
None,review,,Complaint,,High,[COMPLAINT] Feedback,"Category: Complaint
Priority: High
",None,None,{}
None,review,,Praise,,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,0.9,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,0.9,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,0.9,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,1.0,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Complaint,0.8,Medium,[COMPLAINT] Feedback,"Category: Complaint
Priority: Medium
",None,None,{}
None,review,,Praise,,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Complaint,0.0,Low,[COMPLAINT] Feedback,"Category: Complaint
Priority: Low
",None,None,{}
None,review,,Bug,0.9,Critical,[BUG]  - Issue,"Category: Bug
Priority: Critical
Device Info: 
OS Version: 
Steps to Reproduce: 
","{'device_info': '', 'os_version': '', 'steps_to_reproduce': ''}",None,{}
None,review,,Complaint,0.9,Medium,[COMPLAINT] Feedback,"Category: Complaint
Priority: Medium
",None,None,{}
None,review,,Praise,1.0,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Complaint,0.7,Low,[COMPLAINT] Feedback,"Category: Complaint
Priority: Low
",None,None,{}
None,review,,Praise,1.0,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,0.9,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Complaint,,Medium,[COMPLAINT] Feedback,"Category: Complaint
Priority: Medium
",None,None,{}
None,review,,Complaint,,Medium,[COMPLAINT] Feedback,"Category: Complaint
Priority: Medium
",None,None,{}
None,review,,Complaint,0.8,High,[COMPLAINT] Feedback,"Category: Complaint
Priority: High
",None,None,{}
None,review,,Praise,0.9,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,0.9,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,0.9,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Bug,0.0,Low,[BUG]  - Issue,"Category: Bug
Priority: Low
Device Info: 
OS Version: 
Steps to Reproduce: 
","{'device_info': '', 'os_version': '', 'steps_to_reproduce': ''}",None,{}
None,review,,Complaint,0.8,Medium,[COMPLAINT] Feedback,"Category: Complaint
Priority: Medium
",None,None,{}
None,review,,Complaint,,Medium,[COMPLAINT] Feedback,"Category: Complaint
Priority: Medium
",None,None,{}
None,review,,Complaint,,Medium,[COMPLAINT] Feedback,"Category: Complaint
Priority: Medium
",None,None,{}
None,review,,Bug,0.8,"""High""","[BUG] ""Google Pixel 6 with Android 11"" - Issue","Category: Bug
Priority: ""High""
Device Info: ""Google Pixel 6 with Android 11""
OS Version: ""Android 11 (API level 30)""
Steps to Reproduce: ""1. Launch app
","{'device_info': '""Google Pixel 6 with Android 11""', 'os_version': '""Android 11 (API level 30)""', 'steps_to_reproduce': '""1. Launch app'}",None,{}
None,review,,Praise,1.0,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,0.9,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Complaint,,Medium,[COMPLAINT] Feedback,"Category: Complaint
Priority: Medium
",None,None,{}
None,review,,Complaint,1.0,Medium,[COMPLAINT] Feedback,"Category: Complaint
Priority: Medium
",None,None,{}
None,review,,Praise,,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,0.8,Medium,[PRAISE] Feedback,"Category: Praise
Priority: Medium
",None,None,{}
None,review,,Praise,1.0,Medium,[PRAISE] Feedback,"Category: Praise
Priority: Medium
",None,None,{}
None,review,,Praise,,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Complaint,,Medium,[COMPLAINT] Feedback,"Category: Complaint
Priority: Medium
",None,None,{}
None,review,,Complaint,,Low,[COMPLAINT] Feedback,"Category: Complaint
Priority: Low
",None,None,{}
None,review,,Praise,1.0,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,1.0,Medium,[PRAISE] Feedback,"Category: Praise
Priority: Medium
",None,None,{}
None,review,,Complaint,,Critical,[COMPLAINT] Feedback,"Category: Complaint
Priority: Critical
",None,None,{}
None,review,,Praise,0.9,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,0.9,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,1.0,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,0.9,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,1.0,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,1.0,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Complaint,0.9,High,[COMPLAINT] Feedback,"Category: Complaint
Priority: High
",None,None,{}
None,review,,Complaint,,Medium,[COMPLAINT] Feedback,"Category: Complaint
Priority: Medium
",None,None,{}
None,review,,Praise,0.7,Medium,[PRAISE] Feedback,"Category: Praise
Priority: Medium
",None,None,{}
None,review,,Praise,0.8,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,1.0,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,1.0,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Bug,0.8,severity,[BUG]  - Issue,"Category: Bug
Priority: severity
Device Info: 
OS Version: 
Steps to Reproduce: 
","{'device_info': '', 'os_version': '', 'steps_to_reproduce': ''}",None,{}
None,review,,Complaint,,Medium,[COMPLAINT] Feedback,"Category: Complaint
Priority: Medium
",None,None,{}
None,review,,Complaint,0.8,Medium,[COMPLAINT] Feedback,"Category: Complaint
Priority: Medium
",None,None,{}
None,review,,Complaint,,Medium,[COMPLAINT] Feedback,"Category: Complaint
Priority: Medium
",None,None,{}
None,review,,Praise,,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Complaint,0.8,Medium,[COMPLAINT] Feedback,"Category: Complaint
Priority: Medium
",None,None,{}
None,review,,Complaint,,Medium,[COMPLAINT] Feedback,"Category: Complaint
Priority: Medium
",None,None,{}
None,review,,Praise,,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,0.8,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Complaint,,Medium,[COMPLAINT] Feedback,"Category: Complaint
Priority: Medium
",None,None,{}
None,review,,Complaint,0.8,Medium,[COMPLAINT] Feedback,"Category: Complaint
Priority: Medium
",None,None,{}
None,review,,Bug,0.3,Low,[BUG]  - Issue,"Category: Bug
Priority: Low
Device Info: 
OS Version: 
Steps to Reproduce: 
","{'device_info': '', 'os_version': '', 'steps_to_reproduce': ''}",None,{}
None,review,,Praise,,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Complaint,0.8,Medium,[COMPLAINT] Feedback,"Category: Complaint
Priority: Medium
",None,None,{}
None,review,,Complaint,0.8,Medium,[COMPLAINT] Feedback,"Category: Complaint
Priority: Medium
",None,None,{}
None,review,,Praise,0.9,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,1.0,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Complaint,,Medium,[COMPLAINT] Feedback,"Category: Complaint
Priority: Medium
",None,None,{}
None,review,,Praise,0.8,Medium,[PRAISE] Feedback,"Category: Praise
Priority: Medium
",None,None,{}
None,review,,Praise,,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Complaint,,Medium,[COMPLAINT] Feedback,"Category: Complaint
Priority: Medium
",None,None,{}
None,review,,Praise,,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Complaint,0.3,Medium,[COMPLAINT] Feedback,"Category: Complaint
Priority: Medium
",None,None,{}
None,review,,Praise,,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,0.9,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,0.9,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,0.8,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,1.0,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Complaint,1.0,Critical,[COMPLAINT] Feedback,"Category: Complaint
Priority: Critical
",None,None,{}
None,review,,Praise,0.9,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Complaint,0.7,Low,[COMPLAINT] Feedback,"Category: Complaint
Priority: Low
",None,None,{}
None,review,,Praise,,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Complaint,0.9,High,[COMPLAINT] Feedback,"Category: Complaint
Priority: High
",None,None,{}
None,review,,Praise,0.9,Medium,[PRAISE] Feedback,"Category: Praise
Priority: Medium
",None,None,{}
None,review,,Praise,,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Complaint,0.8,Medium,[COMPLAINT] Feedback,"Category: Complaint
Priority: Medium
",None,None,{}
None,review,,Praise,0.9,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Complaint,0.8,Medium,[COMPLAINT] Feedback,"Category: Complaint
Priority: Medium
",None,None,{}
None,review,,Praise,,Medium,[PRAISE] Feedback,"Category: Praise
Priority: Medium
",None,None,{}
None,review,,Praise,,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,0.8,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,0.9,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,0.8,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Complaint,0.9,Medium,[COMPLAINT] Feedback,"Category: Complaint
Priority: Medium
",None,None,{}
None,review,,Praise,0.9,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Complaint,0.9,Medium,[COMPLAINT] Feedback,"Category: Complaint
Priority: Medium
",None,None,{}
None,review,,Complaint,0.9,High,[COMPLAINT] Feedback,"Category: Complaint
Priority: High
",None,None,{}
None,review,,Complaint,,Critical,[COMPLAINT] Feedback,"Category: Complaint
Priority: Critical
",None,None,{}
None,review,,Praise,0.9,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,0.9,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,0.9,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Complaint,0.8,Medium,[COMPLAINT] Feedback,"Category: Complaint
Priority: Medium
",None,None,{}
None,review,,Praise,0.9,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,0.9,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Complaint,,Medium,[COMPLAINT] Feedback,"Category: Complaint
Priority: Medium
",None,None,{}
None,review,,Praise,0.9,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,0.9,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Complaint,0.8,Medium,[COMPLAINT] Feedback,"Category: Complaint
Priority: Medium
",None,None,{}
None,review,,Praise,0.9,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Complaint,0.9,High,[COMPLAINT] Feedback,"Category: Complaint
Priority: High
",None,None,{}
None,review,,Praise,0.9,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Bug,0.6,Medium,[BUG]  - Issue,"Category: Bug
Priority: Medium
Device Info: 
OS Version: 
Steps to Reproduce: 
","{'device_info': '', 'os_version': '', 'steps_to_reproduce': ''}",None,{}
None,review,,Praise,0.9,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Praise,,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Bug,0.9,Critical,[BUG]  - Issue,"Category: Bug
Priority: Critical
Device Info: 
OS Version: 
Steps to Reproduce: 
","{'device_info': '', 'os_version': '', 'steps_to_reproduce': ''}",None,{}
None,review,,Complaint,,Medium,[COMPLAINT] Feedback,"Category: Complaint
Priority: Medium
",None,None,{}
None,review,,Praise,0.9,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Bug,0.95,Critical,[BUG]  - Issue,"Category: Bug
Priority: Critical
Device Info: 
OS Version: 
Steps to Reproduce: 
","{'device_info': '', 'os_version': '', 'steps_to_reproduce': ''}",None,{}
None,review,,Praise,1.0,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Bug,,<severity>,[BUG] <device info> - Issue,"Category: Bug
Priority: <severity>
Device Info: <device info>
OS Version: <OS info>
Steps to Reproduce: <steps>
","{'device_info': '<device info>', 'os_version': '<OS info>', 'steps_to_reproduce': '<steps>'}",None,{}
None,review,,Praise,,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Complaint,0.8,Medium,[COMPLAINT] Feedback,"Category: Complaint
Priority: Medium
",None,None,{}
None,review,,Praise,,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
None,review,,Complaint,0.8,Medium,[COMPLAINT] Feedback,"Category: Complaint
Priority: Medium
",None,None,{}
R001,review,App crashes when I try to open my task list after the latest update.,Bug,0.9,"** High (Assuming it's ""High"" since the app crashes, which is a severe issue)",[BUG] ** This information is not provided in the given report. - Issue,"Category: Bug
Priority: ** High (Assuming it's ""High"" since the app crashes, which is a severe issue)
Device Info: ** This information is not provided in the given report.
OS Version: ** This information is not provided in the given report.
Steps to Reproduce: ** 
","{'device_info': '** This information is not provided in the given report.', 'os_version': '** This information is not provided in the given report.', 'steps_to_reproduce': '** '}",None,{}
R002,review,Can't login since update. Keeps showing an error on iOS 17.,Bug,1.0,Critical,[BUG]  - Issue,"Category: Bug
Priority: Critical
Device Info: 
OS Version: 
Steps to Reproduce: 
","{'device_info': '', 'os_version': '', 'steps_to_reproduce': ''}",None,{}
R003,review,Data sync not working between my phone and tablet.,Complaint,0.9,High,[COMPLAINT] Feedback,"Category: Complaint
Priority: High
",None,None,{}
R006,review,Amazing app! Love the new reminder feature.,Praise,0.9,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
R007,review,Works perfectly for daily planning. Great experience overall.,Praise,0.9,Low,[PRAISE] Feedback,"Category: Praise
Priority: Low
",None,None,{}
